itemCode,descriptionEng,descriptionChi,unit,packageUnit,unitPrice,cost
183249,UNIBALL PX20 PAINT MARKER B/TIP WH,三菱 PX-20 漆油筆 2.2-2.8毫米 白色,EA,1,12,
183318,UNI PX20 PAINT MARKER B/TIP BLK,三菱 PX-20 漆油筆 2.2-2.8毫米 黑色,EA,1,12,
183329,UNIBALL PX20 PAINT MARKER B/TIP RED,三菱 PX-20 漆油筆 2.2-2.8毫米 紅色,EA,1,12,
183353,UNIBALL PX20 PAINT MARKER B/TIP SILVER,三菱 PX-20 漆油筆 2.2-2.8毫米 銀色,EA,1,12,
183513,LUMOCOLOR 315 N/PERM OHP PEN 1.0 BLUE,STAEDTLER 施德樓 Lumocolor 315 水溶性多用途筆 1.0亳米 藍色,EA,1,13.1,
183524,LUMOCOLOR 315 N/PERM OHP PEN 1.0 RED,STAEDTLER 施德樓 Lumocolor 315 水溶性多用途筆 1.0亳米 紅色,EA,1,13.1,
183546,LUMOCOLOR 315 N/PERM OHP PEN 1.0 BLACK,STAEDTLER 施德樓 Lumocolor 315 水溶性多用途筆 1.0亳米 黑色,EA,1,13.1,
183615,UNI PX21 PAINT MARKER B/TIP GOLD,三菱 PX-21 漆油筆 0.8-1.2毫米 金色,EA,1,13,
183626,UNI PX21 PAINT MARKER B/TIP WH,三菱 PX-21 漆油筆 0.8-1.2毫米 白色,EA,1,13,
183637,UNI PX21 PAINT MARKER B/TIP BLK,三菱 PX-21 漆油筆 0.8-1.2毫米 黑色,EA,1,13,
183648,UNI PX21 PAINT MARKER B/TIP RED,三菱 PX-21 漆油筆 0.8-1.2毫米 紅色,EA,1,13,
183659,UNI PX21 PAINT MARKER B/TIP BLU,三菱 PX-21 漆油筆 0.8-1.2毫米 藍色,EA,1,13,
183672,UNI PX21 PAINT MARKER B/TIP SILVER,三菱 PX-21 漆油筆 0.8-1.2毫米 銀色,EA,1,13,
183694,MARKER UNI 520F BLACK,三菱 520F 箱頭筆 黑色,EA,1,6.8,
183706,MARKER UNI 520F BLUE,三菱 520F 箱頭筆 藍色,EA,1,6.8,
183728,MARKER UNI 520F RED,三菱 520F 箱頭筆 紅色,EA,1,6.8,
184323,SCOTCH 600 CRYSTAL TAPE 19MMX33M CLEAR,Scotch 思高牌 600 透明膠紙 3/4吋 x 36碼,EA,1,10.5,
184664,LYRECO BUDGET CLEAR TAPE 19MMX66M,Lyreco 透明膠紙 3/4吋 x 72碼,EA,1,8.3,
184788,SCOTCH 810 MAGIC TAPE 12MMX33M,Scotch 思高牌 810 神奇隱形膠紙 0.5吋 x 36碼,EA,1,12.4,
184799,SCOTCH 810 MAGIC TAPE 19MMX33M,Scotch 思高牌 810 神奇隱形膠紙 0.75吋 x 36碼,EA,1,17,
184824,SCOTCH MAGIC 811 REPOSIT TAPE 19MMX33M,Scotch 思高牌 811 可再貼隱形膠紙 0.75吋 x 36碼,EA,1,31.5,
185144,DYMO 45010 D1 TAPE 12MMX7M  BLK/CLEAR,DYMO D1 標籤帶 12毫米 x 7米 黑色字透明色底,EA,1,141,
